Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
48,Printing & Publishing,Annual Report Design & Print Contract #1047,Taiwan,"Emerald Dynamics Co., Ltd.",Internal - IT Dept.,"Auto-renew clause, 45 days notice required",19-มิ.ย.-2024,03-ก.ค.-2024,14-ต.ค.-2026,Michael W.,No issues reported this cycle,Negotiation in progress,"$119,500"
49,Logistics,Fleet Logistics Services Contract #1048,Philippines,Crest Capital Inc.,Cascade Holdings Inc.,Volume discount tier applies above threshold spend,20-พ.ค.-2022,27-พ.ค.-2022,08-พ.ค.-2025,Chloe P.,Budget approval pending for renewal,Expired/Not renewed,"$633,300"
50,Manufacturing Supply,Packaging Supply Contract #1049,United Arab Emirates,Titan Ventures LLC,Onyx Logistics LLC,"Auto-renew clause, 90 days notice required",02-ก.ค.-2023,16-ก.ค.-2023,20-ต.ค.-2026,Anucha K.,Relationship manager reassigned this quarter,Negotiation in progress,"$3,317,200"
51,Manufacturing Supply,Packaging Supply Contract #1050,Singapore,Quantum Capital Pte Ltd,Internal - Finance Dept.,Includes 24/7 support SLA with penalty clauses,07-มี.ค.-2024,14-มี.ค.-2024,24-ต.ค.-2026,Suchada G.,-,Negotiation in progress,"$3,535,300"
52,Real Estate & Leasing,Retail Unit Lease Contract #1051,South Korea,"BlueSky Technologies Co., Ltd.",Internal - E-commerce,Service level agreement reviewed annually,06-ต.ค.-2022,06-ต.ค.-2022,08-พ.ค.-2026,Anucha H.,Legal review in progress before renewal,Expired/Not renewed,"$3,256,200"
53,Printing & Publishing,Signage & Print Production Agreement #1052,China,"Zenith Innovations Co., Ltd.","Metro Dynamics Co., Ltd.",Includes quarterly business review meetings,31-ม.ค.-2023,31-ม.ค.-2023,06-ธ.ค.-2026,Emily M.,Budget approval pending for renewal,Upcoming renewal,"$173,500"
54,Printing & Publishing,Corporate Printing Services Agreement #1053,China,"Global Technologies Co., Ltd.","Radiant Innovations Co., Ltd.","Multi-year framework agreement, reviewed yearly",20-ม.ค.-2025,27-ม.ค.-2025,09-มี.ค.-2028,Ravi S.,No issues reported this cycle,Renewed,"$186,900"
55,Software Licensing,Business Intelligence Platform License #1054,South Korea,"Zenith Logistics Co., Ltd.",Internal - Finance Dept.,Pricing subject to annual CPI adjustment,12-ส.ค.-2025,26-ส.ค.-2025,11-พ.ค.-2027,Nathan E.,Relationship manager reassigned this quarter,Renewed,"$2,896,900"
56,Legal,Corporate Legal Advisory Retainer #1055,Hong Kong,Beacon Solutions Ltd.,Zenith Partners Ltd.,Renewal contingent on performance KPIs,20-ก.ค.-2025,20-ก.ค.-2025,31-ธ.ค.-2026,Tanawat I.,Budget approval pending for renewal,Negotiation in progress,"$513,600"
57,Travel & Events,Event Management Services Contract #1056,Taiwan,"Apex Consulting Co., Ltd.",Internal - IT Security,Includes quarterly business review meetings,13-ธ.ค.-2025,20-ธ.ค.-2025,13-ก.ค.-2027,David C.,-,Renewed,"$74,900"
58,Construction & Maintenance,HVAC Maintenance Agreement #1057,Singapore,Titan Trading Pte Ltd,Internal - Legal Dept.,Exclusive regional distribution rights included,22-ต.ค.-2025,22-ต.ค.-2025,05-ต.ค.-2027,Daniel T.,Scope extension being discussed with partner,Renewed,"$181,000"
59,Travel & Events,Event Management Services Contract #1058,Cambodia,"NorthStar Industries Co., Ltd.",Internal - Operations,Includes 24/7 support SLA with penalty clauses,18-ก.ย.-2022,02-ต.ค.-2022,13-พ.ค.-2025,Hiroshi A.,No issues reported this cycle,Expired/Not renewed,"$71,600"
60,Insurance,Cyber Liability Insurance Policy #1059,Germany,Unity Dynamics GmbH,Quantum Ventures GmbH,Exclusive regional distribution rights included,25-เม.ย.-2024,25-เม.ย.-2024,21-ธ.ค.-2026,Kanokwan H.,-,Negotiation in progress,"$62,300"
61,Fleet & Transportation,Fleet Maintenance Agreement #1060,Singapore,Solace Innovations Pte Ltd,Titan Industries Pte Ltd,"Auto-renew clause, 45 days notice required",04-ส.ค.-2026,04-ส.ค.-2026,29-ธ.ค.-2028,Ahmed H.,Relationship manager reassigned this quarter,Renewed,"$572,900"
62,Logistics,Last-Mile Delivery Partnership #1061,Cambodia,"Orion Partners Co., Ltd.",Internal - Operations,Includes quarterly business review meetings,05-ม.ค.-2024,19-ม.ค.-2024,06-ก.พ.-2027,Daniel F.,Legal review in progress before renewal,Negotiation in progress,"$928,100"
63,Travel & Events,Corporate Travel Management Agreement #1062,India,Bright Group Pvt. Ltd.,Internal - Marketing Dept.,"Auto-renew clause, 45 days notice required",13-พ.ค.-2021,13-พ.ค.-2021,31-พ.ค.-2024,David M.,Flagged for cost optimization review,Expired/Not renewed,"$318,400"
64,Legal,Compliance Advisory Agreement #1063,France,Orion Systems SAS,Internal - IT Security,Volume discount tier applies above threshold spend,12-ก.พ.-2026,26-ก.พ.-2026,28-ธ.ค.-2028,Kanokwan H.,Legal review in progress before renewal,Renewed,"$144,500"
65,Manufacturing Supply,Raw Material Supply Agreement #1064,Malaysia,Vertex Logistics Sdn Bhd,Nova Innovations Sdn Bhd,Renewal contingent on performance KPIs,04-ก.พ.-2023,11-ก.พ.-2023,16-เม.ย.-2026,Kanokwan H.,No issues reported this cycle,Expired/Not renewed,"$1,546,900"
66,Cleaning & Facility,Office Facility Management Contract #1065,Germany,Pacific Innovations GmbH,Internal - Operations,Pricing subject to annual CPI adjustment,19-พ.ย.-2024,19-พ.ย.-2024,01-ธ.ค.-2027,Yuki G.,Budget approval pending for renewal,Renewed,"$343,500"
67,Logistics,Warehouse Lease & Operation Agreement #1066,United Kingdom,Cascade Enterprises Ltd.,Beacon Consulting Ltd.,Renewal contingent on performance KPIs,30-มี.ค.-2024,13-เม.ย.-2024,26-ธ.ค.-2025,Nattapong B.,No issues reported this cycle,Expired/Not renewed,"$409,100"
68,Consulting,Digital Transformation Consulting #1067,South Korea,"Bright Partners Co., Ltd.","Solace Solutions Co., Ltd.",Pricing subject to annual CPI adjustment,16-ก.พ.-2026,16-ก.พ.-2026,29-ก.ย.-2027,Emily E.,No issues reported this cycle,Renewed,"$192,900"
69,Construction & Maintenance,Civil Works Contract #1068,Thailand,"Evergreen Systems Co., Ltd.",Internal - Procurement,Renewal contingent on performance KPIs,09-พ.ค.-2024,23-พ.ค.-2024,08-เม.ย.-2028,Budi C.,No issues reported this cycle,Renewed,"$240,400"
70,Logistics,Freight Forwarding Contract #1069,Hong Kong,Nova Dynamics Ltd.,Internal - IT Dept.,Volume discount tier applies above threshold spend,16-ต.ค.-2023,23-ต.ค.-2023,23-ก.ค.-2027,Tanawat M.,No issues reported this cycle,Renewed,"$178,600"
71,Cleaning & Facility,Facility Maintenance Contract #1070,Vietnam,Vertex Systems JSC,Internal - Corporate Affairs,Volume discount tier applies above threshold spend,27-ส.ค.-2024,10-ก.ย.-2024,11-ก.ค.-2028,Nathan W.,Scope extension being discussed with partner,Renewed,"$156,300"
72,Manufacturing Supply,Packaging Supply Contract #1071,France,Crown Networks SAS,Internal - Finance Dept.,Includes 24/7 support SLA with penalty clauses,06-ก.ค.-2024,06-ก.ค.-2024,10-ธ.ค.-2026,Daniel D.,"Renewal quote received, under internal review",Negotiation in progress,"$3,819,000"
73,Marketing,Media Buying Agreement #1072,Vietnam,Delta Group JSC,Orion Partners JSC,Exclusive regional distribution rights included,31-มี.ค.-2022,31-มี.ค.-2022,03-ก.พ.-2025,Suchada T.,Legal review in progress before renewal,Expired/Not renewed,"$381,500"
74,Real Estate & Leasing,Office Space Lease Agreement #1073,India,Falcon Group Pvt. Ltd.,Internal - Admin Dept.,-,18-ส.ค.-2022,18-ส.ค.-2022,08-ก.ย.-2025,Tanawat H.,Alternative vendors being benchmarked,Expired/Not renewed,"$3,824,900"
75,Waste Management,Hazardous Waste Management Contract #1074,Myanmar,"Trident Solutions Co., Ltd.",Internal - IT Security,Service level agreement reviewed annually,05-ธ.ค.-2023,05-ธ.ค.-2023,30-ต.ค.-2026,Minji A.,Alternative vendors being benchmarked,Upcoming renewal,"$11,800"
76,Marketing,Creative & Branding Services #1075,Indonesia,Prime Consulting PT,Silverline Ventures PT,"Auto-renew clause, 30 days notice required",22-ธ.ค.-2023,05-ม.ค.-2024,30-ต.ค.-2026,Siti K.,Vendor performance review scheduled,Upcoming renewal,"$544,700"
77,Real Estate & Leasing,Retail Unit Lease Contract #1076,Singapore,Horizon Systems Pte Ltd,Internal - HR Dept.,Includes quarterly business review meetings,11-มิ.ย.-2025,11-มิ.ย.-2025,30-ม.ค.-2027,Ravi N.,Relationship manager reassigned this quarter,Negotiation in progress,"$2,178,100"
78,Printing & Publishing,Corporate Printing Services Agreement #1077,India,Apex Industries Pvt. Ltd.,Internal - Corporate Affairs,Volume discount tier applies above threshold spend,06-ก.พ.-2025,06-ก.พ.-2025,14-พ.ย.-2026,Somchai G.,Relationship manager reassigned this quarter,Negotiation in progress,"$61,400"
79,Manufacturing Supply,OEM Production Agreement #1078,Philippines,Vertex Ventures Inc.,Internal - Admin Dept.,Volume discount tier applies above threshold spend,08-ก.พ.-2023,08-ก.พ.-2023,20-ก.ค.-2026,Wanida M.,No issues reported this cycle,Expired/Not renewed,"$1,893,000"
80,Manufacturing Supply,Raw Material Supply Agreement #1079,Cambodia,"Vanguard Networks Co., Ltd.",Internal - HR Dept.,Volume discount tier applies above threshold spend,11-พ.ค.-2021,11-พ.ค.-2021,08-ธ.ค.-2024,Michael F.,Alternative vendors being benchmarked,Expired/Not renewed,"$443,700"
81,Fleet & Transportation,Fleet Maintenance Agreement #1080,United Kingdom,Ivory Consulting Ltd.,Internal - Operations,Renewal contingent on performance KPIs,17-พ.ค.-2025,31-พ.ค.-2025,03-พ.ย.-2026,Laura H.,Scope extension being discussed with partner,Negotiation in progress,"$577,200"
82,Financial Services,Treasury Management Contract #1081,United States,NorthStar Industries Inc.,Internal - Operations,Includes 24/7 support SLA with penalty clauses,12-ก.ค.-2025,12-ก.ค.-2025,13-ธ.ค.-2026,Aiko W.,No issues reported this cycle,Upcoming renewal,"$952,800"
83,Fleet & Transportation,Corporate Shuttle Service Contract #1082,France,Pinnacle Services SAS,Sterling Partners SAS,Renewal contingent on performance KPIs,12-ก.ค.-2025,26-ก.ค.-2025,08-ก.พ.-2028,Wanida P.,Legal review in progress before renewal,Renewed,"$69,400"
84,Training & Development,Corporate Training Program Agreement #1083,France,Apex Logistics SAS,Internal - Operations,"Auto-renew clause, 60 days notice required",13-ก.ย.-2024,27-ก.ย.-2024,01-พ.ค.-2028,Anucha W.,No issues reported this cycle,Renewed,"$170,800"
85,Consulting,Change Management Engagement #1084,Australia,Solace Innovations Pty Ltd,Internal - IT Dept.,Includes 24/7 support SLA with penalty clauses,09-ส.ค.-2022,09-ส.ค.-2022,07-มิ.ย.-2026,Kanokwan K.,Flagged for cost optimization review,Expired/Not renewed,"$85,400"
86,Printing & Publishing,Annual Report Design & Print Contract #1085,Myanmar,"BlueSky Trading Co., Ltd.",Internal - Operations,Renewal contingent on performance KPIs,11-ก.ค.-2024,11-ก.ค.-2024,27-พ.ค.-2027,Daniel K.,Legal review in progress before renewal,Renewed,"$69,300"
87,Telecommunications,Internet Leased Line Contract #1086,Myanmar,"NorthStar Services Co., Ltd.",Internal - IT Security,Volume discount tier applies above threshold spend,07-ก.ค.-2021,07-ก.ค.-2021,16-ก.ย.-2024,Ahmed J.,Flagged for cost optimization review,Expired/Not renewed,"$424,600"
88,Software Licensing,Business Intelligence Platform License #1087,Australia,Vertex Capital Pty Ltd,Internal - IT Security,Includes 24/7 support SLA with penalty clauses,25-ส.ค.-2024,25-ส.ค.-2024,06-พ.ย.-2026,Yuki A.,Scope extension being discussed with partner,Negotiation in progress,"$2,844,300"
89,Cleaning & Facility,Office Facility Management Contract #1088,Indonesia,Meridian Technologies PT,Pacific Capital PT,-,28-ธ.ค.-2024,28-ธ.ค.-2024,08-พ.ย.-2026,Laura W.,Relationship manager reassigned this quarter,Upcoming renewal,"$71,500"
90,Logistics,Customs Brokerage Agreement #1089,Germany,Orion Industries GmbH,Trident Technologies GmbH,-,18-ธ.ค.-2024,18-ธ.ค.-2024,19-ม.ค.-2027,David S.,Relationship manager reassigned this quarter,Negotiation in progress,"$1,237,000"
91,Insurance,Property & Casualty Insurance Contract #1090,United Kingdom,Granite Capital Ltd.,Internal - Legal Dept.,Renewal contingent on performance KPIs,09-ต.ค.-2023,23-ต.ค.-2023,21-พ.ย.-2026,James I.,Legal review in progress before renewal,Upcoming renewal,"$1,403,400"
92,Marketing,Digital Marketing Retainer #1091,Philippines,Cascade Dynamics Inc.,NorthStar Networks Inc.,Pricing subject to annual CPI adjustment,09-เม.ย.-2023,09-เม.ย.-2023,05-ส.ค.-2026,David O.,Alternative vendors being benchmarked,Expired/Not renewed,"$368,900"
93,Marketing,Influencer Partnership Contract #1092,United States,Crown Solutions Inc.,Internal - Marketing Dept.,"Auto-renew clause, 15 days notice required",02-ก.พ.-2025,09-ก.พ.-2025,20-พ.ย.-2026,Emily E.,-,Upcoming renewal,"$414,800"
94,Telecommunications,Internet Leased Line Contract #1093,Japan,NorthStar Capital K.K.,Internal - Operations,Includes 24/7 support SLA with penalty clauses,22-เม.ย.-2023,22-เม.ย.-2023,13-พ.ย.-2026,Priya D.,Flagged for cost optimization review,Upcoming renewal,"$95,400"
95,IT Services,Cloud Hosting Agreement #1094,Hong Kong,Pinnacle Industries Ltd.,Titan Networks Ltd.,Volume discount tier applies above threshold spend,06-เม.ย.-2026,20-เม.ย.-2026,12-ต.ค.-2027,Ahmed H.,Flagged for cost optimization review,Renewed,"$2,438,700"
96,Printing & Publishing,Corporate Printing Services Agreement #1095,Hong Kong,Onyx Solutions Ltd.,Internal - Finance Dept.,Volume discount tier applies above threshold spend,25-ก.ย.-2023,25-ก.ย.-2023,25-ก.ย.-2026,Nathan L.,Budget approval pending for renewal,Negotiation in progress,"$72,200"
97,Cleaning & Facility,Pest Control Services Agreement #1096,Singapore,Falcon Services Pte Ltd,Evergreen Dynamics Pte Ltd,"Multi-year framework agreement, reviewed yearly",04-ก.ย.-2025,04-ก.ย.-2025,18-พ.ย.-2026,Aiko E.,Budget approval pending for renewal,Upcoming renewal,"$78,500"
